base_prompt,improved_prompt
"how do airlines stay in the air? 
 ","You will act as an aviation expert, explaining how airlines stay in the air. In a detailed response, describe the key principles and mechanisms that allow airplanes to achieve and maintain flight. Begin by discussing the concept of lift and how it is generated, highlighting the role of the wings and the Bernoulli's principle. Elaborate on the function of engines and their contribution to propulsion. Additionally, touch upon other factors such as aerodynamics, control surfaces, and the role of pilots in maneuvering the aircraft. Feel free to provide examples and realworld analogies to enhance understanding.

 "
"why does the stock market fall on wednesdays? 
 ","You will act as a knowledgeable financial analyst, explaining the potential reasons behind stock market declines on Wednesdays. In a detailed response, analyze the factors and dynamics that can contribute to stock market falls specifically on Wednesdays. Explore various possibilities such as market trends, investor behavior, economic indicators, and external events that may influence Wednesday's stock market performance. Additionally, discuss any historical patterns or statistical evidence that suggest a correlation between stock market declines and Wednesdays, if applicable.

 "
"should i apply to university of texas for a computer science program
 ","You will act as a knowledgeable advisor, providing guidance on whether you should apply to the University of Texas for a computer science program. In a detailed response, consider various factors to help you make an informed decision. Begin by discussing the reputation and quality of the University of Texas computer science program, highlighting any notable achievements or strengths. Explore the curriculum, faculty expertise, research opportunities, and industry connections offered by the university. Additionally, consider factors such as location, cost, campus culture, and any specific preferences you may have. Provide insights and recommendations based on these considerations to help you determine if applying to the University of Texas for a computer science program aligns with your academic and personal goals.

 "
"find me information on the scholarship package at harvard 
 ","You will act as a resourceful researcher, providing information on the scholarship package at Harvard University. In a detailed response, explore the various scholarships and financial aid opportunities available at Harvard. Discuss the different types of scholarships, grants, and fellowships offered by the university, along with their eligibility criteria and application process. Provide insights into the financial assistance provided, including tuition coverage, living expenses, and other benefits. Additionally, highlight any notable Harvardspecific scholarships or programs that may be of interest. Feel free to include any relevant deadlines and contact information for further inquiries.

 "
"how do i resize a project for a television. rgb colors. 
 ","You will act as a knowledgeable graphic designer, providing guidance on resizing a project for a television while considering RGB colors. In a detailed response, explain the steps to resize your project effectively for television display, ensuring optimal color reproduction using the RGB color model. Begin by discussing the resolution requirements for television, such as the commonly used Full HD (1920x1080) or 4K Ultra HD (3840x2160). Provide instructions on how to adjust the project dimensions and maintain the aspect ratio to avoid distortion. Discuss the importance of color spaces and RGB color profiles for accurate color representation on televisions. Explain how to ensure consistent and vibrant RGB colors during the resizing process, including any necessary color conversions or adjustments.

 "
"why do dogs stop barking when you stand still 
 ","You will act as a knowledgeable animal behaviorist, explaining why dogs may stop barking when you stand still. In a detailed response, discuss the potential reasons behind this behavior. Explore the various factors that can influence a dog's barking, such as territorial instincts, perceived threats, fear, or social cues. Explain how standing still may signal nonthreatening behavior to the dog, potentially reducing their need to bark. Additionally, touch upon the importance of body language, vocal tone, and overall demeanor in communicating with dogs and influencing their behavior.

 "
"which credit card offers the best airline points for singapore
 ","You will act as a knowledgeable financial advisor, providing information on credit cards that offer the best airline points for flights to and from Singapore. In a detailed response, explore different credit cards and their associated rewards programs that offer favorable airline points for travel to Singapore. Consider factors such as the specific airlines partnered with each credit card, the earning rate of airline points, redemption options, annual fees, and any additional perks or benefits offered. Highlight any notable features or promotions that make these credit cards stand out in terms of airline rewards for Singapore flights.

 "
"i want a list of ingredients to make authentic Guangzhou wontons 
 ","You will act as an experienced chef, providing a list of ingredients needed to make authentic Guangzhou wontons. In a detailed response, share the essential ingredients required for preparing these traditional Chinese dumplings. List the ingredients for both the wonton filling and the wonton wrappers separately, along with any optional ingredients that can enhance the flavor. If there are specific seasonings or sauces typically served with Guangzhou wontons, please include them as well. Additionally, you can provide any tips or recommendations for sourcing authentic ingredients or substitutes if certain items are not readily available.

 "
"i want to migrate a wordpress website with a domain name service onto a new host. the new host should still point to the same domain name while i prototype. where do i start. 
 ","You will act as a knowledgeable web developer, providing guidance on migrating a WordPress website with a domain name service to a new host while maintaining the same domain name. In a detailed response, explain the stepbystep process to successfully migrate your website without disrupting its accessibility. Begin by discussing the preparation phase, including backing up your website files and database. Then, guide through the steps of setting up the new host, transferring the website files and database, and configuring the domain name to point to the new host. Provide instructions for testing the migrated website on the new host while keeping the original website intact. Additionally, offer tips on resolving common migration issues and ensuring a smooth transition.

 "
"i want to find a dress shirt color that goes really well with my red bow tie. we are attending a college reunion. my partner will dress in a black gown. 
 ","You will act as a skilled fashion advisor, providing guidance on finding a dress shirt color that pairs well with a red bow tie for a college reunion. In a detailed response, suggest dress shirt colors that complement the red bow tie and create a stylish ensemble. Take into consideration the partner's black gown to ensure coordination. Explain the principles of color harmony and contrast to help you make a confident choice. Consider factors such as personal style, complexion, and the desired overall look for the occasion. Additionally, you can provide styling tips to enhance the outfit's aesthetic appeal.

 "
"i need a new product that will sell well with a business venture. what are the steps to finding a good product. 
 ","You will act as a knowledgeable business consultant, providing guidance on finding a new product that has the potential to sell well with a business venture. In a detailed response, explain the stepbystep process to identify and evaluate potential product opportunities. Begin by discussing market research and identifying target audiences, highlighting the importance of understanding consumer needs and preferences. Then, guide through the steps of brainstorming product ideas, conducting competitive analysis, validating demand, and assessing the feasibility and profitability of the chosen product. Offer tips on leveraging trends, differentiating the product, and conducting market testing to increase the chances of success.

 "
"I have a side headache that last for five days
 ","You are experiencing a persistent side headache that has been lasting for the past five days, and you are seeking expert advice to understand the possible causes and potential remedies for this condition. You want to gain insights into the nature of side headaches, commonly associated symptoms, and factors that might be contributing to its prolonged duration. Additionally, you are interested in exploring potential remedies or selfcare techniques that could help alleviate the discomfort and provide relief. By understanding the possible causes and exploring suitable remedies, you aim to address your side headache and improve your overall wellbeing.

 "
"How did Notch make Minecraft?
 ","You are fascinated by the creation of the popular video game Minecraft and are eager to understand the process behind its development. Specifically, you are interested in learning how Markus Persson, also known as Notch, created Minecraft and brought it to life. You seek expert insights into the journey of Minecraft's development, including the initial conception, programming aspects, design choices, and the role of Notch in its creation. By exploring the process behind Minecraft's development, you aspire to gain a comprehensive understanding of how this iconic game was brought into existence and became a worldwide phenomenon.

 "
"How do I aim better in Valorant
 ","You are an aspiring Valorant player seeking expert advice to improve your aiming skills in the game. You want to understand the techniques and strategies that can help you aim more effectively and increase your accuracy. By gaining insights from experienced players, you aim to enhance your aiming mechanics and elevate your gameplay performance in Valorant. Whether it's tips on crosshair placement, sensitivity adjustments, or specific training routines, you are eager to explore the best practices for aiming better in Valorant and take your skills to the next level.

 "
"What is the message/theme in Puss in Boots
 ","You are intrigued by the story of ""Puss in Boots"" and want to gain insights into the underlying message or moral conveyed by this classic tale. Seeking expert analysis, you aim to understand the deeper meaning and lessons that can be derived from the story. From the cunning and adventurous exploits of Puss in Boots to the interactions with other characters, you are interested in exploring the themes and values embedded within the narrative. By delving into the message of ""Puss in Boots,"" you aspire to appreciate the story on a deeper level and draw inspiration from its timeless wisdom.

 "
"I am feeling kinda lonely due to moving far from home
 ","You recently moved far away from home, and you are currently experiencing feelings of loneliness as a result. Seeking expert support and guidance, you are eager to find strategies and coping mechanisms to navigate through this transitional period and alleviate your feelings of isolation. Understanding the challenges that come with moving away from familiar surroundings, you are interested in exploring ways to build a new support network, establish connections, and create a sense of belonging in your new environment. By addressing your loneliness and adapting to your new surroundings, you aspire to find comfort, establish meaningful relationships, and foster a sense of home in your new location.

 "
"I am experiencing imposter syndrome
 ","You are currently grappling with imposter syndrome and are seeking expert advice and support to navigate through this challenging experience. Acknowledging the feelings of selfdoubt and inadequacy that come with imposter syndrome, you aim to gain insights into coping strategies and techniques to overcome these negative thoughts and regain confidence in your abilities. Additionally, you are interested in understanding the underlying causes of imposter syndrome and learning how to cultivate a positive mindset and selfbelief. By addressing your imposter syndrome, you aspire to embrace your accomplishments, recognize your true worth, and thrive in your personal and professional endeavors.

 "
"How do I pronounce ""revolutionary""
 ","You are interested in mastering the correct pronunciation of the word ""revolutionary"" and seek expert guidance on its proper articulation. Understanding the importance of accurate pronunciation, you aspire to enhance your linguistic skills and communicate effectively. By focusing on the pronunciation of the word ""revolutionary,"" you aim to gain a clear understanding of its phonetic elements, stress patterns, and any specific challenges that may arise. Through expert assistance, you hope to confidently pronounce the word and expand your overall pronunciation proficiency in the English language.

 "
"How do I import image to excel
 ","You are interested in learning how to import an image into Microsoft Excel and seek expert guidance on the process. Recognizing the potential benefits of incorporating images into your Excel spreadsheets, you aspire to enhance your data presentation and visualization. By understanding the steps involved in importing images, you aim to effectively insert and manipulate images within Excel, thereby adding visual context and improving the overall aesthetics of your spreadsheet.

 "
"What is candle stick trading, and how do I get started
 ","You are interested in understanding candlestick trading and seek expert guidance to get started in this trading technique. Recognizing the potential benefits of candlestick analysis in predicting price movements, you aim to gain a clear understanding of the concept and its application in financial markets. By exploring candlestick trading, you aspire to acquire the necessary knowledge and skills to effectively interpret candlestick patterns, make informed trading decisions, and enhance your overall trading proficiency.

 "
"What are the side effect of ORIF surgery in the ankle
 ","You have recently undergone an ORIF (Open Reduction Internal Fixation) surgery on your ankle and are seeking expert information on the potential side effects associated with this procedure. Understanding the importance of being wellinformed about postoperative effects, you aim to gain a comprehensive understanding of the common side effects specific to ankle ORIF surgery and their potential impact on your recovery. By exploring the side effects of ankle ORIF surgery, you aspire to manage your expectations, follow appropriate care protocols, and make informed decisions regarding your healing process.

 "
"My feet are still purple 10 months after ankle ORIF surgery
 ","You underwent ankle ORIF (Open Reduction Internal Fixation) surgery approximately 10 months ago, and you are concerned about the persistent discoloration of your feet, which appear purple in color. Seeking expert guidance, you aim to understand the potential reasons behind this prolonged discoloration and any associated risks or complications. By exploring the persistent purple discoloration in your feet following ankle ORIF surgery, you aspire to gain clarity on the underlying causes and determine the appropriate course of action to address this concern.

 "
"How to get popular on Instagram by posting cat's picture
 ","As an Instagram user passionate about cats and keen to grow your presence on the platform, you are seeking expert advice on how to become popular by posting cat pictures. You aspire to attract a larger audience, increase your followers, and establish a thriving community of cat lovers on Instagram. Your goal is to create engaging and captivating content featuring cats that will resonate with users, leading to increased visibility and popularity. You are particularly interested in learning about effective strategies for content creation, engagement tactics, hashtag usage, and any specific considerations or tips that will help you stand out in the competitive catloving community on Instagram.

 "
"What is the difference between finetuning and instruction tuning 
 ","You are interested in understanding the distinctions between two machine learning techniques: finetuning and instruction tuning. Seeking expert insights, you want to gain a comprehensive understanding of these methods and their applications in the context of machine learning models. Your goal is to explore the differences between finetuning and instruction tuning, including their underlying principles, processes, and use cases. By acquiring this knowledge, you aim to make informed decisions when selecting the appropriate technique for training and optimizing machine learning models in different scenarios.

 "
"What is the egg marketing strategy? 
 ","You will act as a knowledgeable marketing consultant, explaining the egg marketing strategy. In a detailed response, discuss the key elements and approaches involved in marketing eggs. Explore the target audience for egg products, the various channels used to promote and sell eggs, and the messaging strategies employed to highlight their benefits. Explain the importance of branding, packaging, and differentiation in the egg industry. Additionally, touch upon any specific trends or innovations in the egg marketing landscape that are worth considering for a successful marketing strategy.

 "
"How I sell ice to eskimos? 
 ","You will act as an innovative sales strategist, providing guidance on selling ice to Eskimos. In a creative and detailed response, explore strategies and approaches to successfully market and sell ice to a target audience that is traditionally associated with having an abundance of ice. Discuss the importance of understanding the needs and motivations of the Eskimo community, highlighting potential value propositions or unique selling points that could make your ice product desirable. Consider factors such as product differentiation, branding, cultural sensitivity, and adapting to the specific context and environment of the Eskimo community. Offer insights into effective sales channels, marketing techniques, and any potential challenges or considerations that may arise in this endeavor.

 "
"I want new tennis shoes. what are the best brands.
 ","You will act as a knowledgeable sports enthusiast, providing guidance on the best tennis shoe brands. In a detailed response, suggest top tennis shoe brands known for their quality, performance, and popularity among tennis players. Explain the key factors to consider when choosing tennis shoes, such as comfort, durability, traction, support, and specialized features for different court surfaces. Discuss the reputation and customer reviews of various brands, considering factors like style preferences and budget ranges. Additionally, you can offer tips on finding the right fit and where to purchase tennis shoes to ensure a satisfactory shopping experience.

 "
"Can you provide me the best website to shop and save money
 ","You are looking for expert advice on the best website to shop and save money. Understanding the importance of making informed purchasing decisions and maximizing your savings, you seek guidance on identifying a reliable and costeffective online shopping platform. By exploring the best websites for shopping and saving money, you aim to optimize your shopping experience, find great deals, and make budgetconscious choices.

 "
"What is the history of Vietnam
 ","You are interested in learning about the history of Vietnam and seek expert guidance to gain a comprehensive understanding of this nation's rich historical background. From its ancient origins to its modernday developments, you aim to explore key events, cultural influences, and significant milestones that have shaped Vietnam's history. By delving into Vietnam's history, you aspire to deepen your knowledge of this diverse and vibrant country, its people, and their historical journey.

 "
"What is the meaning of workstudy while in college
 ","You are curious about the meaning and significance of ""workstudy"" while pursuing a college education. Recognizing the term and its relevance in the context of higher education, you seek expert guidance to gain a comprehensive understanding of what workstudy entails. By exploring the concept of workstudy, you aim to grasp its purpose, benefits, and how it integrates with your college experience. Understanding workstudy will help you make informed decisions and effectively navigate any opportunities or requirements related to this program.

 "
"How to start journaling
 ","You are interested in starting a journaling practice and seek expert guidance on how to begin this fulfilling and introspective activity. Recognizing the potential benefits of journaling, such as selfreflection, personal growth, and emotional wellbeing, you aspire to understand the fundamentals and best practices of journaling. By exploring the process of starting a journaling practice, you aim to establish a meaningful and sustainable habit that supports your overall wellbeing and selfexpression.

 "
"Write me a Java calculator program with no code
 ","You are seeking expert assistance in designing a Java calculator program without directly providing the actual code. By explaining the desired functionalities and features of the calculator program, you aim to receive guidance on the overall structure and logic that would be required for its implementation. This approach allows you to understand the fundamental concepts and components necessary to create a Java calculator program while avoiding direct code implementation.

 "
"I need a sales pitch for a proofreading job. 
 ","You will act as a skilled salesperson, creating a compelling sales pitch for a proofreading job. In a persuasive and engaging response, highlight the value and benefits of your proofreading services. Explain how your expertise and attention to detail can enhance the quality of written materials, ensuring accuracy, clarity, and professionalism. Emphasize the importance of errorfree content in leaving a positive impression on readers and achieving communication objectives. Discuss your qualifications, experience, and any specialized knowledge or industries you excel in. Additionally, offer competitive pricing options, timely turnaround, and exceptional customer service as part of your sales pitch.

 "
"Write me a Python chatbot program with just code
 ","You are requesting expert assistance in creating a Python chatbot program by directly providing the necessary code. By presenting the code, you aim to receive guidance on the logic and implementation details of the chatbot program. This approach allows you to understand the key components, functionalities, and programming concepts involved in building a chatbot using Python.

 "
"How do I start instruction tuning an open source large language model
 ","You are interested in instruction tuning an opensource large language model and are seeking expert guidance on how to get started with this process. Recognizing the potential of finetuning models to achieve specific objectives, you aim to understand the key steps, considerations, and best practices involved in instruction tuning. By exploring the intricacies of instruction tuning, you aspire to leverage the capabilities of large language models to address your specific needs and enhance their performance.

 "
"Gimme a random challenge at the gym
 ","You are looking for a random challenge to undertake at the gym, pushing your physical limits and enhancing your fitness journey. By embracing a gymrelated challenge, you hope to challenge yourself, discover new exercises or routines, and take your fitness to the next level. You are open to a variety of challenges, including strength, endurance, flexibility, or overall fitness challenges. The challenge should be engaging, motivating, and offer an opportunity to improve your physical capabilities.
"
